
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Descend | v. <br>1 go or come down. <br>2 sink, fall. <br>3 slope downwards. <br>4 (usu. Foll. By on) make a sudden attack or visit. <br>5 (of property etc.) Be passed on by inheritance. <br>6 a sink in rank, quality, etc. B (foll. By to) stoop to (an unworthy act).  be descended from have as an ancestor.  descendent adj. [latin scando climb]
Descent | n. <br>1 act or way of descending. <br>2 downward slope. <br>3 lineage, family origin. <br>4 decline; fall. <br>5 sudden attack.
Designate | <br>—v. (-ting) <br>1 (often foll. By as) appoint to an office or function. <br>2 specify (designated times). <br>3 (often foll. By as) describe as; style. <br>4 serve as the name or symbol of. <br>—adj. (after the noun) appointed to office but not yet installed. [latin: related to *design]
Desirable | adj. <br>1 worth having or doing. <br>2 sexually attractive.  desirability n. Desirableness n. Desirably adv.
Desktop | n. <br>1 working surface of a desk. <br>2 (attrib.) (esp. Of a microcomputer) for use on an ordinary desk.
Destruction | n. <br>1 destroying or being destroyed. <br>2 cause of this. [latin: related to *destroy]
Destructive | adj. <br>1 (often foll. By to, of) destroying or tending to destroy. <br>2 negatively critical.  destructively adv. Destructiveness n.
Detain | v. <br>1 keep waiting; delay. <br>2 keep in custody, lock up.  detainment n. [latin teneo hold]
Detection | n. <br>1 detecting or being detected. <br>2 work of a detective.
Detention | n. <br>1 detaining or being detained. <br>2 being kept late in school as a punishment. [latin: related to *detain]
Deteriorate | v. (-ting) become worse.  deterioration n. [latin deterior worse]
Determination | n. <br>1 firmness of purpose; resoluteness. <br>2 process of deciding or determining.
Devastate | v. (-ting) <br>1 lay waste; cause great destruction to. <br>2 (often in passive) overwhelm with shock or grief.  devastation n. [latin vasto lay waste]
Devil | <br>—n. <br>1 (usu. The devil) (in christian and jewish belief) supreme spirit of evil; satan. <br>2 a evil spirit; demon. B personified evil. <br>3 a wicked person. B mischievously clever person. <br>4 colloq. Person of a specified kind (lucky devil). <br>5 fighting spirit, mischievousness (devil is in him tonight). <br>6 colloq. Awkward thing. <br>7 (the devil or the devil) colloq. Used as an exclamation of surprise or annoyance (who the devil are you?). <br>8 literary hack. <br>9 junior legal counsel. <br>—v. (-ll-; us -l-) <br>1 cook (food) with hot seasoning. <br>2 act as devil for an author or barrister. <br>3 us harass, worry.  between the devil and the deep blue sea in a dilemma. A devil of colloq. Considerable, difficult, or remarkable. Devil's own colloq. Very difficult or unusual (the devil's own job). The devil to pay trouble to be expected. Speak (or talk) of the devil said when person appears just after being mentioned. [greek diabolos accuser, slanderer]
Devise | v. (-sing) <br>1 carefully plan or invent. <br>2 law leave (real estate) by will. [latin: related to *divide]
Devote | v. (-ting) (often refl.; foll. By to) apply or give over to (a particular activity etc.). [latin voveo vot- vow]
Diagnose | v. (-sing) make a diagnosis of (a disease, fault, etc.).
Diagnosis | n. (pl. Diagnoses) <br>1 a identification of a disease from its symptoms. B formal statement of this. <br>2 identification of the cause of a mechanical fault etc. [greek gignosko recognize]
Usage | see note at *die2.
Usage | the use of dichotomy to mean dilemma or ambivalence is considered incorrect in standard english.
Dictate | <br>—v. (-ting) <br>1 say or read aloud (material to be written down or recorded). <br>2 state or order authoritatively or peremptorily. <br>—n. (usu. In pl.) Authoritative instruction or requirement (dictates of conscience, fashion).  dictation n. [latin dicto from dico say]
Dictator | n. <br>1 usu. Unelected omnipotent ruler. <br>2 omnipotent person in any sphere. <br>3 domineering person.  dictatorship n. [latin: related to *dictate]
Usage | dice, rather than die, is now the standard singular as well as plural form in the games sense (one dice, two dice).
Differ | v. <br>1 (often foll. By from) be unlike or distinguishable. <br>2 (often foll. By with) disagree. [latin differo, dilat- bring apart]
Usage | in sense 1, different from is more widely acceptable than different to, which is common in less formal use.
Differentiate | v. (-ting) <br>1 constitute a difference between or in. <br>2 recognize as different; distinguish. <br>3 become different during development. <br>4 math. Calculate the derivative of.  differentiation n.
Dignity | n. (pl. -ies) <br>1 composed and serious manner. <br>2 worthiness, nobleness (dignity of work). <br>3 high rank or position.  beneath one's dignity not worthy enough for one. Stand on one's dignity insist on being treated with respect. [latin dignus worthy]
Usage | digraph is sometimes confused with ligature, which means two or more letters joined together.
Dilemma | n. <br>1 situation in which a difficult choice has to be made. <br>2 difficult situation, predicament. [greek lemma premiss]
Usage | the use of dilemma in sense <br>2 is considered incorrect by some people.
Dimension | <br>—n. <br>1 measurable extent, as length, breadth, depth, etc. <br>2 (in pl.) Size (of huge dimensions). <br>3 aspect, facet (gained a new dimension). <br>—v. (usu. As dimensioned adj.) Mark dimensions on (a diagram etc.).  dimensional adj. [latin metior mens- measure]
Diminish | v. <br>1 make or become smaller or less. <br>2 (often as diminished adj.) Lessen the reputation of (a person); humiliate.  law of diminishing returns fact that expenditure etc. Beyond a certain point ceases to produce a proportionate yield. [latin: related to *minute1]
Dip | <br>—v. (-pp-) <br>1 put or lower briefly into liquid etc.; immerse. <br>2 a go below a surface or level. B (of income, activity, etc.) Decline slightly, esp. Briefly. <br>3 slope or extend downwards (road dips). <br>4 go under water and emerge quickly. <br>5 (foll. By into) look cursorily into (a book, subject, etc.). <br>6 a (foll. By into) put a hand, ladle, etc., into (a container) to take something out. B use part of (one's resources) (dipped into our savings). <br>7 lower or be lowered, esp. In salute. <br>8 lower the beam of (headlights) to reduce dazzle. <br>9 colour (a fabric) by immersing it in dye. <br>10 wash (sheep) in disinfectant. <br>—n. <br>1 dipping or being dipped. <br>2 liquid for dipping.
Usage | the second pronunciation is considered incorrect by some people.
Diplomat | n. <br>1 member of a diplomatic service. <br>2 tactful person.
Diplomatic | adj. <br>1 of or involved in diplomacy. <br>2 tactful.  diplomatically adv. [french: related to *diploma]
Directory | n. (pl. -ies) book with a list of telephone subscribers, inhabitants of a district, or members of a profession etc. [latin: related to *direct]
Disability | n. (pl. -ies) <br>1 permanent physical or mental incapacity. <br>2 lack of some capacity etc., preventing action.
Disappoint | v. <br>1 fail to fulfil the desire or expectation of. <br>2 frustrate (a hope etc.).  disappointed adj. Disappointing adj.
Disappointment | n. <br>1 person or thing that disappoints. <br>2 being disappointed.
Discard | v. <br>1 reject as unwanted. <br>2 remove or put aside. [from *dis-, *card1]
Discharge | <br>—v. (-ging) <br>1 release (a prisoner); allow (a patient, jury) to leave. <br>2 dismiss from office or employment. <br>3 fire (a gun etc.). <br>4 throw; eject. <br>5 emit, pour out (pus etc.). <br>6 (foll. By into) (of a river etc.) Flow into (esp. The sea). <br>7 a carry out (a duty or obligation). B relieve oneself of (a debt etc.). C relieve (a bankrupt) of residual liability. <br>8 law cancel (an order of court). <br>9 release an electrical charge from. <br>10 a relieve (a ship etc.) Of cargo. B unload (cargo). <br>—n. <br>1 discharging or being discharged. <br>2 certificate of release, dismissal, etc. <br>3 matter discharged; pus etc. <br>4 release of an electric charge, esp. With a spark.
Disclose | v. (-sing) make known; expose.  disclosure n.
Usage | discomfit is sometimes confused with discomfort.
Usage | as a verb, discomfort is sometimes confused with discomfit.
Discourage | v. (-ging) <br>1 deprive of courage or confidence. <br>2 dissuade, deter. <br>3 show disapproval of.  discouragement n.
Discourse | <br>—n. <br>1 conversation. <br>2 lengthy treatment of a subject. <br>3 lecture, speech. <br>—v. (-sing) <br>1 converse. <br>2 speak or write at length on a subject. [latin curro curs- run]
Discretion | n. <br>1 being discreet. <br>2 prudence; good judgement. <br>3 freedom or authority to act according to one's judgement.  use one's discretion act according to one's own judgement.  discretionary adj. [latin: related to *discern]
Discrimination | n. <br>1 unfavourable treatment based on racial, sexual, etc. Prejudice. <br>2 good taste or judgement.
Usage | use of disinterested in sense <br>2 is common in informal use, but is widely regarded as incorrect. The use of the noun disinterest to mean ‘lack of interest’ is also objected to but it is rarely used in any other sense and the alternative uninterest is rare.
Disorder | n. <br>1 lack of order; confusion. <br>2 public disturbance; riot. <br>3 ailment or disease.  disordered adj.
Displace | v. (-cing) <br>1 move from its place. <br>2 remove from office. <br>3 take the place of; oust.
Disposal | n. Disposing of, e.g. Waste.  at one's disposal available.
Usage | disposal is the noun corresponding to the verb dispose of (get rid of, deal with, etc.). Disposition is the noun from dispose (arrange, incline).
Dispose | v. (-sing) <br>1 (usu. Foll. By to, or to + infin.) A make willing; incline (was disposed to agree). B tend (wheel was disposed to buckle). <br>2 arrange suitably. <br>3 (as disposed adj.) Have a specified inclination (ill-disposed; well-disposed). <br>4 determine events (man proposes, god disposes).  dispose of <br>1 a deal with. B get rid of. C finish. D kill. <br>2 sell. <br>3 prove (an argument etc.) Incorrect. [french: related to *pose]
Usage | see note at disposal.
Dispute | <br>—v. (-ting) <br>1 debate, argue. <br>2 discuss, esp. Heatedly; quarrel. <br>3 question the truth or validity of (a statement etc.). <br>4 contend for (disputed territory). <br>5 resist, oppose. <br>—n. <br>1 controversy; debate. <br>2 quarrel. <br>3 disagreement leading to industrial action.  in dispute <br>1 being argued about. <br>2 (of a workforce) involved in industrial action. [latin puto reckon]
Disrupt | v. <br>1 interrupt the continuity of; bring disorder to. <br>2 break apart.  disruption n. Disruptive adj. Disruptively adv. [latin: related to *rupture]
Dissolve | v. (-ving) <br>1 make or become liquid, esp. By immersion or dispersion in a liquid. <br>2 (cause to) disappear gradually. <br>3 dismiss (an assembly, esp. Parliament). <br>4 annul or put an end to (a partnership, marriage, etc.). <br>5 (often foll. By into) be overcome (by tears, laughter, etc.). [latin: related to *dis-, solvo solut- loosen]
